title,published_year,technique,subcategory,category,publishers
"

 Discovering spoliation of evidence through identifying traces on deleted files  in macOS

",2023,Permanent file deletion,File wiping,AW,Elsevier
"

 Discovering spoliation of evidence through identifying traces on deleted files  in macOS

",2023,Recent file list clearing,Metadata wiping,AW,Elsevier
"

 Discovering spoliation of evidence through identifying traces on deleted files  in macOS

",2023,Specific forensic artifact,File wiping,AW,Elsevier
"

 Discovering spoliation of evidence through identifying traces on deleted files  in macOS

",2023,log deletion,Log wiping,AW,Elsevier
"

 Identification of data wiping tools based on deletion patterns in ReFS $Logfile

",2023,Disappearing messages,Data obscurity,TO,Elsevier
"

 Identification of data wiping tools based on deletion patterns in ReFS $Logfile

",2023,Rollback Disappearing Date,Log manipulation,TO,Elsevier
"

 Identification of data wiping tools based on deletion patterns in ReFS $Logfile

",2023,Rollforward Disappearing Date,Log manipulation,TO,Elsevier
"

 Identification of data wiping tools based on deletion patterns in ReFS $Logfile

",2023,View Once (OTV) media,Data obscurity,TO,Elsevier
"

 Data remnants analysis of document files in Windows: Microsoft 365 as a case study

",2023,Data wiping,Generic data wiping,AW,Elsevier
"

 Data remnants analysis of document files in Windows: Microsoft 365 as a case study

",2023,File deletion,File wiping,AW,Elsevier
"

 Data remnants analysis of document files in Windows: Microsoft 365 as a case study

",2023,Permanent directory deletion,File wiping,AW,Elsevier
"

 Data remnants analysis of document files in Windows: Microsoft 365 as a case study

",2023,Permanent file deletion,File wiping,AW,Elsevier
"

 Hit and run: Forensic vehicle event reconstruction through driver-based cloud data from Progressive‚Äôs snapshot application

",2023,Deletion of known artifacts,File wiping,AW,Elsevier
"

 Hit and run: Forensic vehicle event reconstruction through driver-based cloud data from Progressive‚Äôs snapshot application

",2023,Permanent file deletion,File wiping,AW,Elsevier
"

 Hit and run: Forensic vehicle event reconstruction through driver-based cloud data from Progressive‚Äôs snapshot application

",2023,Removal of all studied artifacts,Generic data wiping,AW,Elsevier
"

 Hit and run: Forensic vehicle event reconstruction through driver-based cloud data from Progressive‚Äôs snapshot application

",2023,logs (SANS DFIR poster traces),Log wiping,AW,Elsevier
"

 Hit and run: Forensic vehicle event reconstruction through driver-based cloud data from Progressive‚Äôs snapshot application

",2023,logs (SDRF),Log wiping,AW,Elsevier
"

 Evaluating Commercial Counter-Forensic Tools

",2024,"  Fake location data
  ",Data fabrication,TO,Elsevier
"

 Time for Truth: Forensic Analysis of NTFS Timestamps

",2005,File renaming,Data obscurity,TO,Elsevier
"

 Time for Truth: Forensic Analysis of NTFS Timestamps

",2005,File wiping,File wiping,AW,Elsevier
"

 Time for Truth: Forensic Analysis of NTFS Timestamps

",2005,Log wiping,Log wiping,AW,Elsevier
"

 Time for Truth: Forensic Analysis of NTFS Timestamps

",2005,Pagefile wiping,File wiping,AW,Elsevier
"

 Time for Truth: Forensic Analysis of NTFS Timestamps

",2005,Registry wiping,Registry wiping,AW,Elsevier
"

 Time for Truth: Forensic Analysis of NTFS Timestamps

",2005,Unallocated space wiping,Disk wiping,AW,Elsevier
"

 NULL Byte Injection: Anti-Forensic Technique for Data Hiding in FAT32 File System

",2021,Direct MFT timestamp manipulation,Log manipulation,TO,ACM
"

 NULL Byte Injection: Anti-Forensic Technique for Data Hiding in FAT32 File System

",2021,Timestamp forgery,Log manipulation,TO,ACM
"

 NULL Byte Injection: Anti-Forensic Technique for Data Hiding in FAT32 File System

",2021,Timestomping,Log manipulation,TO,ACM
"

 Analyzing Security Vulnerability and Forensic Investigation of ROS2: A Case Study

",2022,NULL Byte Injection,Forensic software integrity attacks,AT,ACM
"

 Forget About It: Batched Database Sanitization

",2022,Log wiping,Log wiping,AW,ACM
"

 Forensic Trace Analysis for MP3 based Stego-Malware: Exemplary Study for Stego-Algorithm and Capacity Attribution to derive YARA Rules for Malware Identification

",2024,Data erasure,Generic data wiping,AW,ACM
"

 Forensic Trace Analysis for MP3 based Stego-Malware: Exemplary Study for Stego-Algorithm and Capacity Attribution to derive YARA Rules for Malware Identification

",2024,Data wiping,Generic data wiping,AW,ACM
"

 Forensic Trace Analysis for MP3 based Stego-Malware: Exemplary Study for Stego-Algorithm and Capacity Attribution to derive YARA Rules for Malware Identification

",2024,Sanitization,Generic data wiping,AW,ACM
"

 Forensic Trace Analysis for MP3 based Stego-Malware: Exemplary Study for Stego-Algorithm and Capacity Attribution to derive YARA Rules for Malware Identification

",2024,Secure deletion,File wiping,AW,ACM
"

 A Survey On Anti-Forensics Techniques

",2024,Audio steganography,Audio steganography,DH,ACM
"

 Advanced Industrial Espionage: Mobile Device as Anti-Forensic and Anonymization Tool

",2017,Data Pooling,Data obscurity,TO,IEEE
"

 Advanced Industrial Espionage: Mobile Device as Anti-Forensic and Anonymization Tool

",2017,Dummy HDDs,Data misdirection/misinformation/framing,TO,IEEE
"

 Advanced Industrial Espionage: Mobile Device as Anti-Forensic and Anonymization Tool

",2017,Hash Collisions,Hash value integrity attacks,AT,IEEE
"

 Advanced Industrial Espionage: Mobile Device as Anti-Forensic and Anonymization Tool

",2017,Loop References,Data obscurity,TO,IEEE
